duration,definition,viewCount,likeCount,commentCount,publishedAt,channelId,title,description,localized,tags,k
PT20M24S,hd,8130,80,0,2021-08-26T07:00:36Z,UCwQhhYZDmqyNj9hjJ-xH0rw,Grade 3 Araling Panlipunan Q1 Ep12: Mahahalagang Anyong Lupa at Anyong Tubig sa  Sariling Lalawigan,"Grade 3 Araling Panlipunan
Quarter 1
Episode 12: Mahahalagang Anyong Lupa at Anyong Tubig sa  Sariling Lalawigan
Teacher : Laiza Dalit","{'title': 'Grade 3 Araling Panlipunan Q1 Ep12: Mahahalagang Anyong Lupa at Anyong Tubig sa  Sariling Lalawigan', 'description': 'Grade 3 Araling Panlipunan\nQuarter 1\nEpisode 12: Mahahalagang Anyong Lupa at Anyong Tubig sa  Sariling Lalawigan\nTeacher : Laiza Dalit'}","['DepEd', 'DepEd TV', 'Online Learning', 'DepEd Online', 'Deped tv official', 'depedtv', 'deped module', 'ibc depedtv', 'ibc13 deped tv', 'depedtv channel', 'ibc depedtv channel']",3
PT19M22S,hd,54421,805,0,2021-02-04T03:59:20Z,UCwQhhYZDmqyNj9hjJ-xH0rw,Grade 3 Music and Arts Q1 Ep 1,"Grade 3 Music and Arts
Quarter 1
Episode 1 : Tunog at Pahinga ng Rhythmic Pattern
Arts : Iba't ibang Laki ng Tao sa Larawan
Teacher : Pia Mae H. Repaso
                  Shaila Devina C. Regacho","{'title': 'Grade 3 Music and Arts Q1 Ep 1', 'description': ""Grade 3 Music and Arts\nQuarter 1\nEpisode 1 : Tunog at Pahinga ng Rhythmic Pattern\nArts : Iba't ibang Laki ng Tao sa Larawan\nTeacher : Pia Mae H. Repaso\n                  Shaila Devina C. Regacho""}","['DepEd', 'DepEd TV', 'Online Learning', 'DepEd Online', 'Deped tv official', 'depedtv', 'deped module', 'ibc depedtv', 'ibc13 deped tv', 'depedtv channel', 'ibc depedtv channel']",3
PT21M55S,hd,25770,334,0,2021-02-04T03:47:09Z,UCwQhhYZDmqyNj9hjJ-xH0rw,Grade 3 Music and Arts Q1 Ep 2,"Grade 3 Music and Arts 
Quarter 1
Episode 2 : Steady Beat
Arts : Ilusyon ng Espasyo
Teacher : Pia Mae H. Repaso
                 Shaila Devina C. Regacho","{'title': 'Grade 3 Music and Arts Q1 Ep 2', 'description': 'Grade 3 Music and Arts \nQuarter 1\nEpisode 2 : Steady Beat\nArts : Ilusyon ng Espasyo\nTeacher : Pia Mae H. Repaso\n                 Shaila Devina C. Regacho'}","['DepEd', 'DepEd TV', 'Online Learning', 'DepEd Online', 'Deped tv official', 'depedtv', 'deped module', 'ibc depedtv', 'ibc13 deped tv', 'depedtv channel', 'ibc depedtv channel']",3
PT24M38S,hd,13755,177,0,2021-02-04T03:43:46Z,UCwQhhYZDmqyNj9hjJ-xH0rw,Grade 3 Music and Arts Q1 Ep 5,"Grade 3 Music and Arts
Quarter 1
Episode 5 : Ostinato Pattern : Instrumentong Pansaliw
Arts: Iba't ibang Tekstura at Hugis sa Pagguhit ng Larawan
Teacher : Pia Mae H. Repaso
                 Shaila Devina C. Regacho","{'title': 'Grade 3 Music and Arts Q1 Ep 5', 'description': ""Grade 3 Music and Arts\nQuarter 1\nEpisode 5 : Ostinato Pattern : Instrumentong Pansaliw\nArts: Iba't ibang Tekstura at Hugis sa Pagguhit ng Larawan\nTeacher : Pia Mae H. Repaso\n                 Shaila Devina C. Regacho""}","['DepEd', 'DepEd TV', 'Online Learning', 'DepEd Online', 'Deped tv official', 'depedtv', 'deped module', 'ibc depedtv', 'ibc13 deped tv', 'depedtv channel', 'ibc depedtv channel']",3
PT23M10S,hd,14934,211,0,2021-02-04T03:37:28Z,UCwQhhYZDmqyNj9hjJ-xH0rw,Grade 3 PE and Health Q1 Ep 2,"Grade 3 Physical Education and Health
Quarter 1
Episode 2 : Body Actions
                     Konsepto ng Malnutrisyon
Teacher : Victor D. Gocoyo Jr.","{'title': 'Grade 3 PE and Health Q1 Ep 2', 'description': 'Grade 3 Physical Education and Health\nQuarter 1\nEpisode 2 : Body Actions\n                     Konsepto ng Malnutrisyon\nTeacher : Victor D. Gocoyo Jr.'}","['DepEd', 'DepEd TV', 'Online Learning', 'DepEd Online', 'Deped tv official', 'depedtv', 'deped module', 'ibc depedtv', 'ibc13 deped tv', 'depedtv channel', 'ibc depedtv channel']",3
PT19M40S,hd,25816,326,0,2021-02-04T03:34:02Z,UCwQhhYZDmqyNj9hjJ-xH0rw,Grade 3 PE and Health Q1 Ep 1,"Grade 3 Physical Education and Health
Quarter 1
Episode 1 : Body Shapes
                     Mabuti o Masamang Nutrisyon
Teacher : Victor D. Gocoyo Jr.","{'title': 'Grade 3 PE and Health Q1 Ep 1', 'description': 'Grade 3 Physical Education and Health\nQuarter 1\nEpisode 1 : Body Shapes\n                     Mabuti o Masamang Nutrisyon\nTeacher : Victor D. Gocoyo Jr.'}","['DepEd', 'DepEd TV', 'Online Learning', 'DepEd Online', 'Deped tv official', 'depedtv', 'deped module', 'ibc depedtv', 'ibc13 deped tv', 'depedtv channel', 'ibc depedtv channel']",3
PT26M7S,hd,20970,259,0,2021-02-04T03:30:16Z,UCwQhhYZDmqyNj9hjJ-xH0rw,Grade 3  PE and Health Q1 Ep 5 Flexibility Exercises,"Grade 3 Physical Education and Health
Quarter 1
Episode 3 : Flexibility Exercises
Health Pagpapanatili ng Malusog na Pamumuhay
Teacher : Victor D. Gocoyo Jr.","{'title': 'Grade 3  PE and Health Q1 Ep 5 Flexibility Exercises', 'description': 'Grade 3 Physical Education and Health\nQuarter 1\nEpisode 3 : Flexibility Exercises\nHealth Pagpapanatili ng Malusog na Pamumuhay\nTeacher : Victor D. Gocoyo Jr.'}","['DepEd', 'DepEd TV', 'Online Learning', 'DepEd Online', 'Deped tv official', 'depedtv', 'deped module', 'ibc depedtv', 'ibc13 deped tv', 'depedtv channel', 'ibc depedtv channel']",3
PT23M1S,hd,5906,96,0,2021-02-04T03:17:26Z,UCwQhhYZDmqyNj9hjJ-xH0rw,Grade 3 Math Q1 Ep 18 Solving o Paglutas ng Suliranin,"Grade 3 Mathematics
Quarter 1
Episode 18 : Solving o Paglutas ng Suliranin na Ginagamitan ng Pagbabawas na nay pagdaragdag ( Part 2 )
Teacher : Vicky Leguarda","{'title': 'Grade 3 Math Q1 Ep 18 Solving o Paglutas ng Suliranin', 'description': 'Grade 3 Mathematics\nQuarter 1\nEpisode 18 : Solving o Paglutas ng Suliranin na Ginagamitan ng Pagbabawas na nay pagdaragdag ( Part 2 )\nTeacher : Vicky Leguarda'}","['DepEd', 'DepEd TV', 'Online Learning', 'DepEd Online', 'Deped tv official', 'depedtv', 'deped module', 'ibc depedtv', 'ibc13 deped tv', 'depedtv channel', 'ibc depedtv channel']",3
PT18M51S,hd,5338,153,0,2021-02-04T03:10:29Z,UCwQhhYZDmqyNj9hjJ-xH0rw,Grade 3 MTB-MLE Q1 Ep 17 Pagkilala sa mga Idyomatikong eksresyon sa Pangungusap,"Grade 3 Mother Tongue-Based Multilingual Lingual Education
Quarter 1
Episode 17 : Pagkilala sa mga Idyomatikong eksresyon sa Pangungusap
Teacher : Marvin Balingit","{'title': 'Grade 3 MTB-MLE Q1 Ep 17 Pagkilala sa mga Idyomatikong eksresyon sa Pangungusap', 'description': 'Grade 3 Mother Tongue-Based Multilingual Lingual Education\nQuarter 1\nEpisode 17 : Pagkilala sa mga Idyomatikong eksresyon sa Pangungusap\nTeacher : Marvin Balingit'}","['DepEd', 'DepEd TV', 'Online Learning', 'DepEd Online', 'Deped tv official', 'depedtv', 'deped module', 'ibc depedtv', 'ibc13 deped tv', 'depedtv channel', 'ibc depedtv channel']",3
PT20M22S,hd,11436,257,0,2021-01-15T14:38:58Z,UCwQhhYZDmqyNj9hjJ-xH0rw,Grade 3 English Q1 Ep 6 Writing Your Own Simple Diary,"Grade 3 English
Quarter 1
Episode 6 : Writing Your Own Simple Diary
Teacher : Desheryl M. Cuyos","{'title': 'Grade 3 English Q1 Ep 6 Writing Your Own Simple Diary', 'description': 'Grade 3 English\nQuarter 1\nEpisode 6 : Writing Your Own Simple Diary\nTeacher : Desheryl M. Cuyos'}","['DepEd', 'DepEd TV', 'Online Learning', 'DepEd Online', 'Deped tv official', 'depedtv', 'deped module', 'ibc depedtv', 'ibc13 deped tv', 'depedtv channel', 'ibc depedtv channel']",3
