ind,definition,total_views,total_likes,avg_daily_views,total_comments,publish_date,title,tags,k,quarter,grade_level,teacher,episode,subject,duration_in_seconds,tag_type
956,hd,23555,535,62,0,2021-01-19,SHS 21st Literature Q1 Ep 2 Represintative Text from the Region,"['DepEd', 'DepEd TV', 'Online Learning', 'DepEd Online', 'Deped tv official', 'depedtv', 'deped module', 'ibc depedtv', 'ibc13 deped tv', 'depedtv channel', 'ibc depedtv channel']",11,Quarter 1,Grade 11,nova dolore pelayo,Episode 02,21st century literature,1211,9
957,hd,15405,331,41,7,2021-01-19,SHS 21st Literature Q1 Ep 4 Context and Text's Meaning,"['DepEd', 'DepEd TV', 'Online Learning', 'DepEd Online', 'Deped tv official', 'depedtv', 'deped module', 'ibc depedtv', 'ibc13 deped tv', 'depedtv channel', 'ibc depedtv channel']",11,Quarter 1,Grade 11,nova dolore pelayo,Episode 04,21st century literature,1168,9
958,hd,33229,839,88,14,2021-01-18,SHS Filipino Q1 Ep 2 Konseptong Pangwika,"['DepEd', 'DepEd TV', 'Online Learning', 'DepEd Online', 'Deped tv official', 'depedtv', 'deped module', 'ibc depedtv', 'ibc13 deped tv', 'depedtv channel', 'ibc depedtv channel']",11,Quarter 1,Grade 11,loren domer ybañez,Episode 02,komunikasyon at pananaliksik,1589,9
959,hd,11149,191,29,0,2021-01-18,SHS Pagbasa Q1 Ep 3 Katanigan at Kalikasan ng Iba't ibang Teksto Tungo sa Pananaliksik,"['DepEd', 'DepEd TV', 'Online Learning', 'DepEd Online', 'Deped tv official', 'depedtv', 'deped module', 'ibc depedtv', 'ibc13 deped tv', 'depedtv channel', 'ibc depedtv channel']",11,Quarter 1,Grade 11,jerson quiachon orbiso,Episode 03,pagbasa,1322,9
960,hd,5521,80,15,2,2021-01-18,SHS Pagbasa Q1 Ep 4 Pagbasa at Pagsusuri ng Iba't Ibang Teksto Tungo sa Pananaliksik,"['DepEd', 'DepEd TV', 'Online Learning', 'DepEd Online', 'Deped tv official', 'depedtv', 'deped module', 'ibc depedtv', 'ibc13 deped tv', 'depedtv channel', 'ibc depedtv channel']",11,Quarter 1,Grade 11,jerson quiachon orbiso,Episode 04,pagbasa,1326,9
961,hd,13351,258,35,1,2021-01-18,SHS Pagabasa Q1 Ep 5 Tekstong Nanghihikayat o Perswey,"['DepEd', 'DepEd TV', 'Online Learning', 'DepEd Online', 'Deped tv official', 'depedtv', 'deped module', 'ibc depedtv', 'ibc13 deped tv', 'depedtv channel', 'ibc depedtv channel']",11,Quarter 1,Grade 11,jerson quiachon orbiso,Episode 05,pagbasa,1114,9
962,hd,9953,227,26,4,2021-01-18,SHS Filipino Q1 Ep 8 Kohesyong Gramatikal,"['DepEd', 'DepEd TV', 'Online Learning', 'DepEd Online', 'Deped tv official', 'depedtv', 'deped module', 'ibc depedtv', 'ibc13 deped tv', 'depedtv channel', 'ibc depedtv channel']",11,Quarter 1,Grade 11,ryan alba,Episode 08,komunikasyon at pananaliksik,903,9
963,hd,21761,483,58,9,2021-01-18,SHS Filipino Q1 Ep 3  Patakarang Bilingguwal,"['DepEd', 'DepEd TV', 'Online Learning', 'DepEd Online', 'Deped tv official', 'depedtv', 'deped module', 'ibc depedtv', 'ibc13 deped tv', 'depedtv channel', 'ibc depedtv channel']",11,Quarter 1,Grade 11,loren domer ybañez,Episode 03,komunikasyon at pananaliksik,1418,9
964,hd,17895,387,47,7,2021-01-18,SHS Filipino Q1 Ep 7 Sitwasyong Pangwika,"['DepEd', 'DepEd TV', 'Online Learning', 'DepEd Online', 'Deped tv official', 'depedtv', 'deped module', 'ibc depedtv', 'ibc13 deped tv', 'depedtv channel', 'ibc depedtv channel']",11,Quarter 1,Grade 11,ryan alba,Episode 07,komunikasyon at pananaliksik,1000,9
965,hd,14297,323,38,6,2021-01-18,SHS Filipino Q1 Ep 4 Multilingguwalismo at Edukasyong Multilinguwal,"['DepEd', 'DepEd TV', 'Online Learning', 'DepEd Online', 'Deped tv official', 'depedtv', 'deped module', 'ibc depedtv', 'ibc13 deped tv', 'depedtv channel', 'ibc depedtv channel']",11,Quarter 1,Grade 11,loren domer ybañez,Episode 04,komunikasyon at pananaliksik,1383,9
